"de","en"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pine","Account access information__Pins"
"Nutzungsinformationen__Zeitpunkt deiner Aktivität","Use information__Date of activity"
"Nutzungsinformationen__Dauer deiner Aktivität","Use information__Duration of activity"
"Nutzungsinformationen__Häufigkeit deiner Aktivität","Use information__Frequency of activity"
"Nutzungsinformationen__„Zuletzt online“-Angabe","Use information__“Next online” information"
"Nutzungsinformationen__Informationen zu den Funktionen, die du nutzt","Use information__Information about the features you use"
"Nutzungsinformationen__wann du zuletzt deine Profilinfo aktualisiert hast","Use information__when you last updated your profile info"
"Nutzungsinformationen__wann du Anrufe und Nachrichten tätigst","Use information__when to make calls and messages"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Date of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protokoll- und Problemlösungsinformationen__Protokolldateien","Protocol and problem-solving information__Protocol files"
"Protokoll- und Problemlösungsinformationen__Zeitstempel","Protocol and problem-solving information__Timestamp"
"Protokoll- und Problemlösungsinformationen__Diagnosedaten","Protocol and problem-solving information__Diagnostic data"
"Protokoll- und Problemlösungsinformationen__Absturzdaten","Protocol and problem-solving information__Crash data"
"Protokoll- und Problemlösungsinformationen__Performance-Logs von Webseiten","Protocol and problem-solving information__Performance logs of websites"
"Protokoll- und Problemlösungsinformationen__Fehlerprotokolle","Protocol and problem-solving information__Error logs"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Dates of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protocol and problem-solving information__Protocol files","Protocol and problem-solving information__Protocol files"
"Protocol and problem-solving information__Timestamp","Protocol and problem-solving information__Timestamp"
"Protocol and problem-solving information__Diagnostic data","Protocol and problem-solving information__Diagnostic data"
"Protocol and problem-solving information__Crash data","Protocol and problem-solving information__Crash data"
"Protocol and problem-solving information__Performance logs of websites","Protocol and problem-solving information__Performance logs of websites"
"Protocol and problem-solving information__Error logs","Protocol and problem-solving information__Error logs"
"Geräte- und Verbindungsdaten__Hardware-Modell","Device and connection data__Hardware model"
"Geräte- und Verbindungsdaten__Betriebssystem","Device and connection data__Operating system"
"Geräte- und Verbindungsdaten__Batteriestand","Device and connection data__Battery status"
"Geräte- und Verbindungsdaten__Signalstärke","Device and connection data__Signal strength"
"Geräte- und Verbindungsdaten__App-Version","Device and connection data__App version"
"Geräte- und Verbindungsdaten__Informationen zum Browser","Device and connection data__Information about the browser"
"Geräte- und Verbindungsdaten__Informationen zum Mobilfunknetz","Device and connection data__Information about the mobile network"
"Geräte- und Verbindungsdaten__Verbindung","Device and connection data__Connection"
"Geräte- und Verbindungsdaten__Mobilfunk- oder Internetanbieter","Device and connection data__Mobile or Internet provider"
"Geräte- und Verbindungsdaten__Sprache","Device and connection data__Languages"
"Geräte- und Verbindungsdaten__Zeitzone","Device and connection data__Time zone"
"Geräte- und Verbindungsdaten__IP-Adresse","Device and connection data__IP address"
"Geräte- und Verbindungsdaten__Informationen zum Gerätebetrieb","Device and connection data__Device operation information"
"Geräte- und Verbindungsdaten__Kennungen","Device and connection data__Identification"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Dates of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protocol and problem-solving information__Protocol files","Protocol and problem-solving information__Protocol files"
"Protocol and problem-solving information__Timestamp","Protocol and problem-solving information__Timestamp"
"Protocol and problem-solving information__Diagnostic data","Protocol and problem-solving information__Diagnostic data"
"Protocol and problem-solving information__Crash data","Protocol and problem-solving information__Crash data"
"Protocol and problem-solving information__Performance logs of websites","Protocol and problem-solving information__Performance logs of websites"
"Protocol and problem-solving information__Error logs","Protocol and problem-solving information__Error logs"
"Device and connection data__Hardware model","Device and connection data__Hardware model"
"Device and connection data__Operating system","Device and connection data__Operating system"
"Device and connection data__Battery status","Device and connection data__Battery status"
"Device and connection data__Signal strength","Device and connection data__Signal strength"
"Device and connection data__App version","Device and connection data__App version"
"Device and connection data__Information about the browser","Device and connection data__Information about the browser"
"Device and connection data__Information about the mobile network","Device and connection data__Information about the mobile network"
"Device and connection data__Connection","Device and connection data__Connection"
"Device and connection data__Mobile or Internet provider","Device and connection data__Mobile or Internet provider"
"Device and connection data__Languages","Device and connection data__Languages"
"Device and connection data__Time zone","Device and connection data__Time zone"
"Device and connection data__IP address","Device and connection data__IP address"
"Device and connection data__Device operation information","Device and connection data__Device operation information"
"Device and connection data__Identification","Device and connection data__Identification"
"Allgemeine Standortinformationen__Allgemeine Standortinformationen","General location information__General location information"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Dates of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protocol and problem-solving information__Protocol files","Protocol and problem-solving information__Protocol files"
"Protocol and problem-solving information__Timestamp","Protocol and problem-solving information__Timestamp"
"Protocol and problem-solving information__Diagnostic data","Protocol and problem-solving information__Diagnostic data"
"Protocol and problem-solving information__Crash data","Protocol and problem-solving information__Crash data"
"Protocol and problem-solving information__Performance logs of websites","Protocol and problem-solving information__Performance logs of websites"
"Protocol and problem-solving information__Error logs","Protocol and problem-solving information__Error logs"
"Device and connection data__Hardware model","Device and connection data__Hardware model"
"Device and connection data__Operating system","Device and connection data__Operating system"
"Device and connection data__Battery status","Device and connection data__Battery status"
"Device and connection data__Signal strength","Device and connection data__Signal strength"
"Device and connection data__App version","Device and connection data__App version"
"Device and connection data__Information about the browser","Device and connection data__Information about the browser"
"Device and connection data__Information about the mobile network","Device and connection data__Information about the mobile network"
"Device and connection data__Connection","Device and connection data__Connection"
"Device and connection data__Mobile or Internet provider","Device and connection data__Mobile or Internet provider"
"Device and connection data__Languages","Device and connection data__Languages"
"Device and connection data__Time zone","Device and connection data__Time zone"
"Device and connection data__IP address","Device and connection data__IP address"
"Device and connection data__Device operation information","Device and connection data__Device operation information"
"Device and connection data__Identification","Device and connection data__Identification"
"General location information__General location information","General location information__General location information"
"Cookies__Cookies","Cookies__Cookies"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Dates of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protocol and problem-solving information__Protocol files","Protocol and problem-solving information__Protocol files"
"Protocol and problem-solving information__Timestamp","Protocol and problem-solving information__Timestamp"
"Protocol and problem-solving information__Diagnostic data","Protocol and problem-solving information__Diagnostic data"
"Protocol and problem-solving information__Crash data","Protocol and problem-solving information__Crash data"
"Protocol and problem-solving information__Performance logs of websites","Protocol and problem-solving information__Performance logs of websites"
"Protocol and problem-solving information__Error logs","Protocol and problem-solving information__Error logs"
"Device and connection data__Hardware model","Device and connection data__Hardware model"
"Device and connection data__Operating system","Device and connection data__Operating system"
"Device and connection data__Battery status","Device and connection data__Battery status"
"Device and connection data__Signal strength","Device and connection data__Signal strength"
"Device and connection data__App version","Device and connection data__App version"
"Device and connection data__Information about the browser","Device and connection data__Information about the browser"
"Device and connection data__Information about the mobile network","Device and connection data__Information about the mobile network"
"Device and connection data__Connection","Device and connection data__Connection"
"Device and connection data__Mobile or Internet provider","Device and connection data__Mobile or Internet provider"
"Device and connection data__Languages","Device and connection data__Languages"
"Device and connection data__Time zone","Device and connection data__Time zone"
"Device and connection data__IP address","Device and connection data__IP address"
"Device and connection data__Device operation information","Device and connection data__Device operation information"
"Device and connection data__Identification","Device and connection data__Identification"
"General location information__General location information","General location information__General location information"
"Cookies__Cookies","Cookies__Cookies"
"Benutzeroptionen__In-App-Einstellungen","User Options__In-App settings"
"Benutzeroptionen__Datenschutz-Einstellungen","User Options__Data protection settings"
"Benutzeroptionen__Aufzeichnungen über die Annahme unserer Bedingungen","User Options__Records about the acceptance of our conditions"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Dates of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protocol and problem-solving information__Protocol files","Protocol and problem-solving information__Protocol files"
"Protocol and problem-solving information__Timestamp","Protocol and problem-solving information__Timestamp"
"Protocol and problem-solving information__Diagnostic data","Protocol and problem-solving information__Diagnostic data"
"Protocol and problem-solving information__Crash data","Protocol and problem-solving information__Crash data"
"Protocol and problem-solving information__Performance logs of websites","Protocol and problem-solving information__Performance logs of websites"
"Protocol and problem-solving information__Error logs","Protocol and problem-solving information__Error logs"
"Device and connection data__Hardware model","Device and connection data__Hardware model"
"Device and connection data__Operating system","Device and connection data__Operating system"
"Device and connection data__Battery status","Device and connection data__Battery status"
"Device and connection data__Signal strength","Device and connection data__Signal strength"
"Device and connection data__App version","Device and connection data__App version"
"Device and connection data__Information about the browser","Device and connection data__Information about the browser"
"Device and connection data__Information about the mobile network","Device and connection data__Information about the mobile network"
"Device and connection data__Connection","Device and connection data__Connection"
"Device and connection data__Mobile or Internet provider","Device and connection data__Mobile or Internet provider"
"Device and connection data__Languages","Device and connection data__Languages"
"Device and connection data__Time zone","Device and connection data__Time zone"
"Device and connection data__IP address","Device and connection data__IP address"
"Device and connection data__Device operation information","Device and connection data__Device operation information"
"Device and connection data__Identification","Device and connection data__Identification"
"General location information__General location information","General location information__General location information"
"Cookies__Cookies","Cookies__Cookies"
"User Options__In-App settings","User Options__In-App settings"
"User Options__Data protection settings","User Options__Data protection settings"
"User Options__Records about the acceptance of our conditions","User Options__Records about the acceptance of our conditions"
"Authentifizierungsinformationen__Authentifizierungscodes","Authentication information__Authentication Codes"
"Authentifizierungsinformationen__öffentliche Verschlüsselungsschlüssel","Authentication information__public encryption key"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Dates of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protocol and problem-solving information__Protocol files","Protocol and problem-solving information__Protocol files"
"Protocol and problem-solving information__Timestamp","Protocol and problem-solving information__Timestamp"
"Protocol and problem-solving information__Diagnostic data","Protocol and problem-solving information__Diagnostic data"
"Protocol and problem-solving information__Crash data","Protocol and problem-solving information__Crash data"
"Protocol and problem-solving information__Performance logs of websites","Protocol and problem-solving information__Performance logs of websites"
"Protocol and problem-solving information__Error logs","Protocol and problem-solving information__Error logs"
"Device and connection data__Hardware model","Device and connection data__Hardware model"
"Device and connection data__Operating system","Device and connection data__Operating system"
"Device and connection data__Battery status","Device and connection data__Battery status"
"Device and connection data__Signal strength","Device and connection data__Signal strength"
"Device and connection data__App version","Device and connection data__App version"
"Device and connection data__Information about the browser","Device and connection data__Information about the browser"
"Device and connection data__Information about the mobile network","Device and connection data__Information about the mobile network"
"Device and connection data__Connection","Device and connection data__Connection"
"Device and connection data__Mobile or Internet provider","Device and connection data__Mobile or Internet provider"
"Device and connection data__Languages","Device and connection data__Languages"
"Device and connection data__Time zone","Device and connection data__Time zone"
"Device and connection data__IP address","Device and connection data__IP address"
"Device and connection data__Device operation information","Device and connection data__Device operation information"
"Device and connection data__Identification","Device and connection data__Identification"
"General location information__General location information","General location information__General location information"
"Cookies__Cookies","Cookies__Cookies"
"User Options__In-App settings","User Options__In-App settings"
"User Options__Data protection settings","User Options__Data protection settings"
"User Options__Records about the acceptance of our conditions","User Options__Records about the acceptance of our conditions"
"Authentication information__Authentication Codes","Authentication information__Authentication Codes"
"Authentication information__public encryption key","Authentication information__public encryption key"
"Von anderen über dich bereitgestellte Informationen__Von anderen über dich bereitgestellte Informationen","Information provided by others about you__Information provided by others about you"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Dates of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protocol and problem-solving information__Protocol files","Protocol and problem-solving information__Protocol files"
"Protocol and problem-solving information__Timestamp","Protocol and problem-solving information__Timestamp"
"Protocol and problem-solving information__Diagnostic data","Protocol and problem-solving information__Diagnostic data"
"Protocol and problem-solving information__Crash data","Protocol and problem-solving information__Crash data"
"Protocol and problem-solving information__Performance logs of websites","Protocol and problem-solving information__Performance logs of websites"
"Protocol and problem-solving information__Error logs","Protocol and problem-solving information__Error logs"
"Device and connection data__Hardware model","Device and connection data__Hardware model"
"Device and connection data__Operating system","Device and connection data__Operating system"
"Device and connection data__Battery status","Device and connection data__Battery status"
"Device and connection data__Signal strength","Device and connection data__Signal strength"
"Device and connection data__App version","Device and connection data__App version"
"Device and connection data__Information about the browser","Device and connection data__Information about the browser"
"Device and connection data__Information about the mobile network","Device and connection data__Information about the mobile network"
"Device and connection data__Connection","Device and connection data__Connection"
"Device and connection data__Mobile or Internet provider","Device and connection data__Mobile or Internet provider"
"Device and connection data__Languages","Device and connection data__Languages"
"Device and connection data__Time zone","Device and connection data__Time zone"
"Device and connection data__IP address","Device and connection data__IP address"
"Device and connection data__Device operation information","Device and connection data__Device operation information"
"Device and connection data__Identification","Device and connection data__Identification"
"General location information__General location information","General location information__General location information"
"Cookies__Cookies","Cookies__Cookies"
"User Options__In-App settings","User Options__In-App settings"
"User Options__Data protection settings","User Options__Data protection settings"
"User Options__Records about the acceptance of our conditions","User Options__Records about the acceptance of our conditions"
"Authentication information__Authentication Codes","Authentication information__Authentication Codes"
"Authentication information__public encryption key","Authentication information__public encryption key"
"Information provided by others about you__Information provided by others about you","Information provided by others about you__Information provided by others about you"
"Meldungen von Benutzer*innen__Meldungen von Benutzer*innen","Messages from users__Messages from users"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Dates of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protocol and problem-solving information__Protocol files","Protocol and problem-solving information__Protocol files"
"Protocol and problem-solving information__Timestamp","Protocol and problem-solving information__Timestamp"
"Protocol and problem-solving information__Diagnostic data","Protocol and problem-solving information__Diagnostic data"
"Protocol and problem-solving information__Crash data","Protocol and problem-solving information__Crash data"
"Protocol and problem-solving information__Performance logs of websites","Protocol and problem-solving information__Performance logs of websites"
"Protocol and problem-solving information__Error logs","Protocol and problem-solving information__Error logs"
"Device and connection data__Hardware model","Device and connection data__Hardware model"
"Device and connection data__Operating system","Device and connection data__Operating system"
"Device and connection data__Battery status","Device and connection data__Battery status"
"Device and connection data__Signal strength","Device and connection data__Signal strength"
"Device and connection data__App version","Device and connection data__App version"
"Device and connection data__Information about the browser","Device and connection data__Information about the browser"
"Device and connection data__Information about the mobile network","Device and connection data__Information about the mobile network"
"Device and connection data__Connection","Device and connection data__Connection"
"Device and connection data__Mobile or Internet provider","Device and connection data__Mobile or Internet provider"
"Device and connection data__Languages","Device and connection data__Languages"
"Device and connection data__Time zone","Device and connection data__Time zone"
"Device and connection data__IP address","Device and connection data__IP address"
"Device and connection data__Device operation information","Device and connection data__Device operation information"
"Device and connection data__Identification","Device and connection data__Identification"
"General location information__General location information","General location information__General location information"
"Cookies__Cookies","Cookies__Cookies"
"User Options__In-App settings","User Options__In-App settings"
"User Options__Data protection settings","User Options__Data protection settings"
"User Options__Records about the acceptance of our conditions","User Options__Records about the acceptance of our conditions"
"Authentication information__Authentication Codes","Authentication information__Authentication Codes"
"Authentication information__public encryption key","Authentication information__public encryption key"
"Information provided by others about you__Information provided by others about you","Information provided by others about you__Information provided by others about you"
"Messages from users__Messages from users","Messages from users__Messages from users"
"Unternehmen auf WhatsApp__Unternehmen auf WhatsApp","Company on WhatsApp__Company on WhatsApp"
"Account information__Mobile phone number","Account information__Mobile phone number"
"Account information__Profile names","Account information__Profile names"
"User contents__Status information","User contents__Status information"
"User contents__Precise location information","User contents__Precise location information"
"Network__Phone numbers in the Address Book","Network__Phone numbers in the Address Book"
"Network__Information about users who contact you and are not in your device address book","Network__Information about users who contact you and are not in your device address book"
"Network__Information about users you have blocked","Network__Information about users you have blocked"
"Network__Information about users who have blocked you","Network__Information about users who have blocked you"
"Community and group information__Community and group information","Community and group information__Community and group information"
"Customer support information and other communications__Customer support information and other communications","Customer support information and other communications__Customer support information and other communications"
"Account access information__Verification information","Account access information__Verification information"
"Account access information__Pins","Account access information__Pins"
"Use information__Dates of activity","Use information__Dates of activity"
"Use information__Duration of activity","Use information__Duration of activity"
"Use information__Frequency of activity","Use information__Frequency of activity"
"Use information__“Next online” information","Use information__“Next online” information"
"Use information__Information about the features you use","Use information__Information about the features you use"
"Use information__when you last updated your profile info","Use information__when you last updated your profile info"
"Use information__when to make calls and messages","Use information__when to make calls and messages"
"Protocol and problem-solving information__Protocol files","Protocol and problem-solving information__Protocol files"
"Protocol and problem-solving information__Timestamp","Protocol and problem-solving information__Timestamp"
"Protocol and problem-solving information__Diagnostic data","Protocol and problem-solving information__Diagnostic data"
"Protocol and problem-solving information__Crash data","Protocol and problem-solving information__Crash data"
